Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,data,NUTS_code,NUTS_level,soglia40,sopraSoglia
P.A. Bolzano,223,561,32,100,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITH1,2,39.750446,
P.A. Trento,178,604,35,90,15,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITH2,2,29.470199,
Piemonte,2122,5824,146,628,99,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITC1,2,36.435440,
Puglia,1397,3459,164,460,80,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITF4,2,40.387395,◼
Sardegna,446,1602,39,202,35,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITG2,2,27.840200,
Sicilia,1325,4161,204,829,196,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITG1,2,31.843307,
Toscana,648,5033,96,555,11,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITI1,2,12.875025,
Umbria,361,782,54,130,2,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITI2,2,46.163683,◼
Valle d'Aosta,32,227,3,20,12,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITC2,2,14.096916,
Veneto,1430,6000,217,1000,0,Dati della Protezione Civile del 31 Gennaio 2021 ore 18:44,2021-01-31,ITH3,2,23.833333,
Abruzzo,401,1476,47,189,0,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITF1,2,27.168022,
Basilicata,71,408,2,88,13,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITF5,2,17.401961,
Calabria,276,913,21,152,25,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITF6,2,30.230011,
Campania,1437,4449,97,620,36,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITF3,2,32.299393,
Emilia-Romagna,2181,6126,207,757,0,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITH5,2,35.602351,
Friuli Venezia Giulia,593,1277,61,175,0,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITH4,2,46.436962,◼
Lazio,2373,6421,288,943,193,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITI4,2,36.956860,
Liguria,631,1737,65,216,12,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITC3,2,36.327001,
Lombardia,3489,10616,371,1200,330,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITC4,2,32.865486,
Marche,535,1174,72,233,40,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITI3,2,45.570698,◼
Molise,61,221,9,36,0,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITF2,2,27.601810,
P.A. Bolzano,233,560,34,100,0,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITH1,2,41.607143,◼
P.A. Trento,180,594,35,90,15,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITH2,2,30.303030,
Piemonte,2151,5824,153,628,99,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITC1,2,36.933379,
Puglia,1411,3459,171,460,80,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITF4,2,40.792136,◼
Sardegna,439,1602,39,202,35,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITG2,2,27.403246,
Sicilia,1336,4161,204,828,196,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITG1,2,32.107666,
Toscana,656,5033,101,553,11,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITI1,2,13.033976,
Umbria,363,782,58,130,2,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITI2,2,46.419437,◼
Valle d'Aosta,33,227,3,20,12,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITC2,2,14.537445,
Veneto,1410,6000,214,1000,0,Dati della Protezione Civile del 01 Febbraio 2021 ore 19:12,2021-02-01,ITH3,2,23.500000,
Abruzzo,414,1476,44,189,0,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITF1,2,28.048780,
Basilicata,72,414,2,88,13,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITF5,2,17.391304,
Calabria,264,913,24,152,25,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITF6,2,28.915663,
Campania,1480,4459,103,620,36,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITF3,2,33.191298,
Emilia-Romagna,2176,6126,198,757,0,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITH5,2,35.520731,
Friuli Venezia Giulia,579,1277,61,175,0,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITH4,2,45.340642,◼
Lazio,2336,6421,289,943,193,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITI4,2,36.380626,
Liguria,630,1737,64,216,12,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITC3,2,36.269430,
Lombardia,3544,10575,361,1200,330,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITC4,2,33.513002,
Marche,544,1174,68,233,40,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITI3,2,46.337308,◼
Molise,58,221,8,39,0,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITF2,2,26.244344,
P.A. Bolzano,233,560,34,100,0,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITH1,2,41.607143,◼
P.A. Trento,174,594,34,90,15,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITH2,2,29.292929,
Piemonte,2138,5824,152,628,99,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITC1,2,36.710165,
Puglia,1432,3448,170,460,80,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITF4,2,41.531323,◼
Sardegna,430,1602,34,202,35,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITG2,2,26.841448,
Sicilia,1327,4161,202,828,196,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITG1,2,31.891372,
Toscana,669,5033,109,548,11,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITI1,2,13.292271,
Umbria,369,785,61,130,2,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITI2,2,47.006369,◼
Valle d'Aosta,25,227,3,20,12,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITC2,2,11.013216,
Veneto,1423,6000,193,1000,0,Dati della Protezione Civile del 02 Febbraio 2021 ore 19:09,2021-02-02,ITH3,2,23.716667,
Abruzzo,427,1476,47,189,0,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITF1,2,28.929539,
Basilicata,70,414,1,88,13,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITF5,2,16.908213,
Calabria,253,913,23,152,25,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITF6,2,27.710843,
Campania,1475,4459,100,620,36,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITF3,2,33.079166,
Emilia-Romagna,2122,6126,194,757,0,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITH5,2,34.639243,
Friuli Venezia Giulia,561,1277,63,175,0,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITH4,2,43.931088,◼
Lazio,2350,6421,279,943,193,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITI4,2,36.598661,
Liguria,641,1736,64,217,12,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITC3,2,36.923963,
Lombardia,3554,10568,359,1200,330,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITC4,2,33.629826,
Marche,535,1174,68,233,40,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITI3,2,45.570698,◼
Molise,65,221,6,39,0,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITF2,2,29.411765,
P.A. Bolzano,241,560,32,100,0,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITH1,2,43.035714,◼
P.A. Trento,158,594,33,90,15,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITH2,2,26.599327,
Piemonte,2092,5824,147,628,99,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITC1,2,35.920330,
Puglia,1429,3432,155,460,80,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITF4,2,41.637529,◼
Sardegna,416,1602,29,201,35,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITG2,2,25.967541,
Sicilia,1317,4154,193,825,196,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITG1,2,31.704381,
Toscana,663,5033,109,552,11,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITI1,2,13.173058,
Umbria,367,785,64,130,2,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITI2,2,46.751592,◼
Valle d'Aosta,29,227,3,20,12,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITC2,2,12.775330,
Veneto,1306,6000,176,1000,0,Dati della Protezione Civile del 03 Febbraio 2021 ore 19:06,2021-02-03,ITH3,2,21.766667,
Abruzzo,452,1476,47,189,0,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITF1,2,30.623306,
Basilicata,71,424,1,88,13,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITF5,2,16.745283,
Calabria,256,913,25,152,25,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITF6,2,28.039430,
Campania,1468,4459,100,620,36,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITF3,2,32.922180,
Emilia-Romagna,2046,6126,188,757,0,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITH5,2,33.398629,
Friuli Venezia Giulia,550,1277,64,175,0,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITH4,2,43.069695,◼
Lazio,2308,6421,273,943,193,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITI4,2,35.944557,
Liguria,627,1736,64,217,12,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITC3,2,36.117512,
Lombardia,3539,10476,362,1200,330,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITC4,2,33.781978,
Marche,529,1174,76,233,40,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITI3,2,45.059625,◼
Molise,62,221,11,39,0,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITF2,2,28.054299,
P.A. Bolzano,249,560,35,100,0,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITH1,2,44.464286,◼
P.A. Trento,144,594,32,90,15,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITH2,2,24.242424,
Piemonte,2065,5824,143,628,99,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITC1,2,35.456731,
Puglia,1420,3448,158,460,80,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITF4,2,41.183295,◼
Sardegna,398,1602,28,201,35,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITG2,2,24.843945,
Sicilia,1286,4051,187,832,196,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITG1,2,31.745248,
Toscana,642,5033,112,552,11,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITI1,2,12.755812,
Umbria,372,785,66,130,2,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITI2,2,47.388535,◼
Valle d'Aosta,27,227,3,20,12,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITC2,2,11.894273,
Veneto,1232,6000,176,1000,0,Dati della Protezione Civile del 04 Febbraio 2021 ore 18:55,2021-02-04,ITH3,2,20.533333,
Abruzzo,453,1476,48,189,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITF1,2,30.691057,
Basilicata,84,424,2,88,13,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITF5,2,19.811321,
Calabria,261,913,26,152,25,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITF6,2,28.587076,
Campania,1490,4459,103,620,36,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITF3,2,33.415564,
Emilia-Romagna,1990,6126,182,757,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITH5,2,32.484492,
Friuli Venezia Giulia,536,1277,65,175,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITH4,2,41.973375,◼
Lazio,2264,6421,272,943,193,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITI4,2,35.259305,
Liguria,631,1736,62,217,12,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITC3,2,36.347926,
Lombardia,3549,10476,359,1200,330,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITC4,2,33.877434,
Marche,532,1174,74,233,40,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITI3,2,45.315162,◼
Molise,65,221,10,39,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITF2,2,29.411765,
P.A. Bolzano,255,560,35,100,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITH1,2,45.535714,◼
P.A. Trento,142,594,32,90,15,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITH2,2,23.905724,
Piemonte,2021,5824,147,628,99,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITC1,2,34.701236,
Puglia,1416,3448,168,460,80,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITF4,2,41.067285,◼
Sardegna,403,1602,29,201,35,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITG2,2,25.156055,
Sicilia,1244,4051,182,832,196,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITG1,2,30.708467,
Toscana,643,5033,105,552,11,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITI1,2,12.775681,
Umbria,377,785,66,130,2,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITI2,2,48.025478,◼
Valle d'Aosta,25,227,3,20,12,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITC2,2,11.013216,
Veneto,1194,6000,172,1000,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44,2021-02-05,ITH3,2,19.900000,
Abruzzo,461,1476,49,189,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITF1,2,31.233062,
Basilicata,84,424,1,88,13,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITF5,2,19.811321,
Calabria,249,913,27,152,25,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITF6,2,27.272727,
Campania,1499,4459,108,620,36,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITF3,2,33.617403,
Emilia-Romagna,1956,6126,183,757,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITH5,2,31.929481,
Friuli Venezia Giulia,533,1277,63,175,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITH4,2,41.738449,◼
Lazio,2273,6421,270,943,193,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITI4,2,35.399470,
Liguria,609,1784,61,217,12,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITC3,2,34.136771,
Lombardia,3540,10388,354,1200,330,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITC4,2,34.077782,
Marche,531,1174,75,233,40,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITI3,2,45.229983,◼
Molise,66,221,12,39,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITF2,2,29.864253,
P.A. Bolzano,242,564,34,100,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITH1,2,42.907801,◼
P.A. Trento,131,594,28,90,15,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITH2,2,22.053872,
Piemonte,2007,5824,140,628,99,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITC1,2,34.460852,
Puglia,1427,3545,157,569,80,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITF4,2,40.253879,◼
Sardegna,394,1602,31,208,35,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITG2,2,24.594257,
Sicilia,1228,4050,177,832,196,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITG1,2,30.320988,
Toscana,643,5033,109,552,11,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITI1,2,12.775681,
Umbria,388,785,70,130,2,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITI2,2,49.426752,◼
Valle d'Aosta,24,227,3,20,12,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITC2,2,10.572687,
Veneto,1123,6000,158,1000,0,Dati della Protezione Civile del 06 Febbraio 2021 ore 19:37,2021-02-06,ITH3,2,18.716667,
Abruzzo,470,1476,51,189,0,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITF1,2,31.842818,
Basilicata,84,424,1,88,13,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITF5,2,19.811321,
Calabria,233,913,26,152,25,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITF6,2,25.520263,
Campania,1500,4459,105,620,36,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITF3,2,33.639830,
Emilia-Romagna,1950,6126,181,757,0,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITH5,2,31.831538,
Friuli Venezia Giulia,521,1277,63,175,0,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITH4,2,40.798747,◼
Lazio,2232,6421,264,943,193,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITI4,2,34.760941,
Liguria,608,1784,61,217,12,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITC3,2,34.080717,
Lombardia,3467,10391,358,1200,330,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITC4,2,33.365412,
Marche,528,1174,74,233,40,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITI3,2,44.974446,◼
Molise,69,221,11,39,0,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITF2,2,31.221719,
P.A. Bolzano,242,557,35,100,0,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITH1,2,43.447038,◼
P.A. Trento,136,594,26,90,15,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITH2,2,22.895623,
Piemonte,2017,5824,140,628,99,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITC1,2,34.632555,
Puglia,1434,3545,162,569,80,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITF4,2,40.451340,◼
Sardegna,382,1602,34,208,35,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITG2,2,23.845194,
Sicilia,1198,4050,178,832,196,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITG1,2,29.580247,
Toscana,650,5033,108,547,11,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITI1,2,12.914763,
Umbria,411,785,73,130,2,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITI2,2,52.356688,◼
Valle d'Aosta,24,227,3,20,12,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITC2,2,10.572687,
Veneto,1110,6000,153,1000,0,Dati della Protezione Civile del 07 Febbraio 2021 ore 19:04,2021-02-07,ITH3,2,18.500000,
Abruzzo,487,1476,49,189,0,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITF1,2,32.994580,
Basilicata,82,424,1,88,13,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITF5,2,19.339623,
Calabria,234,913,25,152,25,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITF6,2,25.629792,
Campania,1542,4459,110,620,36,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITF3,2,34.581745,
Emilia-Romagna,2002,6126,183,757,0,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITH5,2,32.680379,
Friuli Venezia Giulia,527,1277,63,175,0,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITH4,2,41.268598,◼
Lazio,2248,6421,272,943,193,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITI4,2,35.010123,
Liguria,609,1782,63,217,18,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITC3,2,34.175084,
Lombardia,3491,10371,362,1200,330,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITC4,2,33.661171,
Marche,536,1174,73,233,40,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITI3,2,45.655877,◼
Molise,71,221,11,39,0,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITF2,2,32.126697,
P.A. Bolzano,250,557,30,100,0,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITH1,2,44.883303,◼
P.A. Trento,141,584,28,90,15,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITH2,2,24.143836,
Piemonte,2036,5824,148,628,99,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITC1,2,34.958791,
Puglia,1450,3561,164,569,80,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITF4,2,40.718899,◼
Sardegna,380,1602,35,208,35,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITG2,2,23.720350,
Sicilia,1192,4049,181,832,196,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITG1,2,29.439368,
Toscana,691,5033,112,548,11,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITI1,2,13.729386,
Umbria,423,785,77,130,2,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITI2,2,53.885350,◼
Valle d'Aosta,25,227,3,20,12,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITC2,2,11.013216,
Veneto,1110,6000,153,1000,0,Dati della Protezione Civile del 08 Febbraio 2021 ore 19:04,2021-02-08,ITH3,2,18.500000,
Abruzzo,491,1476,51,189,0,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITF1,2,33.265583,
Basilicata,82,410,3,88,13,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITF5,2,20.000000,
Calabria,243,913,24,152,25,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITF6,2,26.615553,
Campania,1540,4459,112,620,36,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITF3,2,34.536892,
Emilia-Romagna,1971,6126,182,757,0,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITH5,2,32.174339,
Friuli Venezia Giulia,501,1277,66,175,0,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITH4,2,39.232576,
Lazio,2257,6421,268,943,193,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITI4,2,35.150288,
Liguria,616,1790,63,217,18,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITC3,2,34.413408,
Lombardia,3553,10369,363,1224,306,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITC4,2,34.265599,
Marche,542,1174,74,233,40,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITI3,2,46.166951,◼
Molise,69,221,10,39,0,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITF2,2,31.221719,
P.A. Bolzano,250,573,30,100,0,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITH1,2,43.630017,◼
P.A. Trento,144,584,29,90,15,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITH2,2,24.657534,
Piemonte,2040,5824,148,628,99,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITC1,2,35.027473,
Puglia,1415,3561,165,569,80,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITF4,2,39.736029,
Sardegna,371,1602,37,208,35,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITG2,2,23.158552,
Sicilia,1161,4049,176,832,196,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITG1,2,28.673747,
Toscana,701,5033,113,552,11,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITI1,2,13.928075,
Umbria,434,785,79,130,2,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITI2,2,55.286624,◼
Valle d'Aosta,19,227,3,20,12,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITC2,2,8.370044,
Veneto,1112,6000,147,1000,0,Dati della Protezione Civile del 09 Febbraio 2021 ore 18:47,2021-02-09,ITH3,2,18.533333,
Abruzzo,496,1476,52,189,0,Dati della Protezione Civile del 10 Febbraio 2021 ore 18:46,2021-02-10,ITF1,2,33.604336,
Basilicata,82,410,5,88,13,Dati della Protezione Civile del 10 Febbraio 2021 ore 18:46,2021-02-10,ITF5,2,20.000000,
