Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Calabria,313,29833,10105,525,330,3%,303,16,-0.7&,27,1.4,12.5%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Campania,968,209482,70866,1225,1548,2%,1448,25,-1.4&,100,1.73,3.1%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Emilia-Romagna,1090,205261,52579,1177,2720,5%,2490,56,-1.2&,230,5.15,-0.9%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Friuli Venezia Giulia,672,62045,12331,1018,751,6%,693,57,0.3&,58,4.79,-7.9%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Lazio,1281,192896,73189,1248,3023,4%,2735,47,-1.2&,288,4.91,-5.6%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Liguria,285,66546,4758,308,702,15%,643,42,0&,59,3.82,-1.7%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Lombardia,1876,518161,53698,531,4078,8%,3650,36,0.9&,428,4.24,0.7%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Marche,417,51044,8615,567,657,8%,573,38,-2.4&,84,5.53,-1.2%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Molise,54,7658,1135,375,66,6%,57,19,-8.1&,9,2.98,0%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
P.A. Bolzano,441,34561,12532,2355,248,2%,218,41,2.8&,30,5.64,0%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
P.A. Trento,278,25550,2086,384,297,14%,255,47,-5.9&,42,7.74,-8.7%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Piemonte,606,214517,13905,320,2631,19%,2466,57,-1.4&,165,3.8,-1.8%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Puglia,1159,111840,55101,1375,1498,3%,1350,34,-0.3&,148,3.69,4.2%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Sardegna,216,36235,17276,1060,541,3%,488,30,-3.6&,53,3.25,0%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Sicilia,1486,125134,46707,940,1674,4%,1459,29,0.2&,215,4.33,1.9%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Toscana,443,128881,8282,222,809,10%,696,19,-2.7&,113,3.04,-6.6%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Umbria,277,32899,4605,523,329,7%,283,32,-3.1&,46,5.23,-2.1%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Valle d'Aosta,14,7698,378,301,48,13%,46,37,0&,2,1.59,0%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Veneto,1359,301486,57469,1171,2411,4%,2096,43,-3.1&,315,6.42,-0.9%,Dati della Protezione Civile del 20 Gennaio 2021 ore 20:43,2021-01-20
Abruzzo,212,40025,10660,816,485,5%,442,34,-0.2&,43,3.29,-4.4%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Basilicata,59,12684,6941,1246,86,1%,80,14,3.9&,6,1.08,50%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Calabria,258,30091,9968,518,323,3%,297,15,-2&,26,1.35,-3.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Campania,1215,210697,71178,1230,1540,2%,1440,25,-0.6&,100,1.73,0%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Emilia-Romagna,1320,206578,52037,1165,2674,5%,2456,55,-1.4&,218,4.88,-5.2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Friuli Venezia Giulia,657,62702,12180,1005,739,6%,680,56,-1.9&,59,4.87,1.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Lazio,1303,194199,72685,1239,2933,4%,2653,45,-3&,280,4.77,-2.8%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Liguria,243,66789,4603,298,697,15%,635,41,-1.2&,62,4.02,5.1%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Lombardia,2234,520395,53055,525,4055,8%,3644,36,-0.2&,411,4.07,-4%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Marche,500,51544,8074,532,638,8%,555,37,-3.1&,83,5.47,-1.2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Molise,34,7692,1045,346,64,6%,56,19,-1.8&,8,2.65,-11.1%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
P.A. Bolzano,566,35127,12823,2410,254,2%,226,42,3.7&,28,5.26,-6.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
P.A. Trento,164,25714,2006,370,279,14%,236,43,-7.5&,43,7.92,2.4%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Piemonte,761,215278,13593,313,2578,19%,2419,56,-1.9&,159,3.66,-3.6%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Puglia,1275,113115,54784,1367,1497,3%,1346,34,-0.3&,151,3.77,2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Sardegna,238,36473,17116,1050,517,3%,466,29,-4.5&,51,3.13,-3.8%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Sicilia,1230,126364,46898,944,1657,4%,1436,29,-1.6&,221,4.45,2.8%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Toscana,503,129384,8303,223,775,9%,659,18,-5.3&,116,3.12,2.7%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Umbria,286,33185,4721,536,332,7%,286,32,1.1&,46,5.23,0%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Valle d'Aosta,17,7696,341,272,44,13%,42,33,-8.7&,2,1.59,0%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Veneto,1003,302489,53557,1091,2296,4%,1991,41,-5&,305,6.21,-3.2%,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15,2021-01-21
Abruzzo,318,40343,10499,804,481,5%,441,34,-0.2&,40,3.06,-7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Basilicata,51,12735,6969,1251,88,1%,83,15,3.8&,5,0.9,-16.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Calabria,368,30459,10106,525,302,3%,278,14,-6.4&,24,1.25,-7.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Campania,1106,211803,62133,1074,1542,2%,1438,25,-0.1&,104,1.8,4%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Emilia-Romagna,1347,207925,51211,1146,2622,5%,2402,54,-2.2&,220,4.92,0.9%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Friuli Venezia Giulia,452,63154,12090,998,730,6%,669,55,-1.6&,61,5.04,3.4%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Lazio,1141,195340,71446,1218,2962,4%,2673,46,0.8&,289,4.93,3.2%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Liguria,313,67102,4518,293,676,15%,615,40,-3.1&,61,3.95,-1.6%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Lombardia,1969,522364,53215,527,3987,7%,3579,35,-1.8&,408,4.04,-0.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Marche,437,51981,8271,545,634,8%,555,37,0&,79,5.2,-4.8%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Molise,57,7749,1051,348,61,6%,53,18,-5.4&,8,2.65,0%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
P.A. Bolzano,510,35637,13041,2451,251,2%,227,43,0.4&,24,4.51,-14.3%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
P.A. Trento,179,25893,2045,377,260,13%,219,40,-7.2&,41,7.55,-4.7%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Piemonte,849,216127,13356,308,2494,19%,2342,54,-3.2&,152,3.5,-4.4%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Puglia,1018,114133,54547,1361,1480,3%,1327,33,-1.4&,153,3.82,1.3%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Sardegna,212,36685,17003,1043,501,3%,449,28,-3.6&,52,3.19,2%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Sicilia,1355,127719,47289,952,1663,4%,1441,29,0.3&,222,4.47,0.5%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Toscana,429,129813,8202,220,752,9%,642,17,-2.6&,110,2.95,-5.2%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Umbria,305,33490,4880,554,327,7%,283,32,-1&,44,5,-4.3%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Valle d'Aosta,19,7715,331,264,42,13%,40,32,-4.8&,2,1.59,0%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Veneto,1198,303687,49850,1016,2226,4%,1935,39,-2.8&,291,5.93,-4.6%,Dati della Protezione Civile del 22 Gennaio 2021 ore 19:26,2021-01-22
Abruzzo,221,40564,10411,797,468,4%,427,33,-3.2&,41,3.14,2.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Basilicata,59,12794,6926,1244,93,1%,89,16,7.2&,4,0.72,-20%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Calabria,402,30861,10340,537,299,3%,275,14,-1.1&,24,1.25,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Campania,1150,212953,62453,1079,1551,2%,1437,25,-0.1&,114,1.97,9.6%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Emilia-Romagna,1310,209235,50732,1136,2607,5%,2390,54,-0.5&,217,4.86,-1.4%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Friuli Venezia Giulia,679,63833,11898,982,735,6%,672,55,0.4&,63,5.2,3.3%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Lazio,1297,196637,70266,1198,2859,4%,2576,44,-3.6&,283,4.82,-2.1%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Liguria,298,67400,4570,296,656,14%,591,38,-3.9&,65,4.21,6.6%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Lombardia,1535,523899,52468,519,3897,7%,3499,35,-2.2&,398,3.94,-2.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Marche,397,52378,8411,554,626,7%,549,36,-1.1&,77,5.07,-2.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Molise,48,7797,1048,347,58,6%,50,17,-5.7&,8,2.65,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
P.A. Bolzano,552,36189,13386,2516,243,2%,219,41,-3.5&,24,4.51,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
P.A. Trento,193,26086,2047,377,246,12%,203,37,-7.3&,43,7.92,4.9%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Piemonte,931,217058,13455,310,2493,19%,2337,54,-0.2&,156,3.59,2.6%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Puglia,1023,115156,54615,1363,1540,3%,1381,34,4.1&,159,3.97,3.9%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Sardegna,191,36876,17023,1044,503,3%,457,28,1.8&,46,2.82,-11.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Sicilia,1158,128877,47627,959,1667,4%,1444,29,0.2&,223,4.49,0.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Toscana,520,130333,8261,222,736,9%,629,17,-2&,107,2.87,-2.7%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Umbria,332,33822,5029,571,338,7%,292,33,3.2&,46,5.23,4.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Valle d'Aosta,5,7720,327,261,45,14%,43,34,7.5&,2,1.59,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Veneto,1030,304717,47541,969,2129,4%,1843,38,-4.8&,286,5.83,-1.7%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06,2021-01-23
Abruzzo,69,40955,10196,781,470,5%,426,33,-0.9&,44,3.37,0%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Basilicata,71,12913,6928,1244,92,1%,86,15,6.2&,6,1.08,50%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Calabria,207,31279,10103,525,300,3%,278,14,-0.4&,22,1.14,4.8%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Campania,754,214776,63073,1090,1560,2%,1455,25,0.5&,105,1.81,-6.3%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Emilia-Romagna,1164,211606,51289,1148,2644,5%,2422,54,1.6&,222,4.97,1.4%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Friuli Venezia Giulia,181,64519,11573,955,748,6%,686,57,0.1&,62,5.12,1.6%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Lazio,874,198567,67661,1154,2847,4%,2560,44,0.6&,287,4.89,0.3%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Liguria,164,67857,4538,294,689,15%,622,40,3.2&,67,4.34,4.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Lombardia,1484,526758,49977,495,3819,8%,3412,34,-0.5&,407,4.03,0.5%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Marche,200,53103,8664,571,622,7%,549,36,0.5&,73,4.81,-1.4%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Molise,40,7939,1063,352,59,6%,52,17,4&,7,2.32,-22.2%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
P.A. Bolzano,200,36801,13575,2551,267,2%,239,45,5.8&,28,5.26,12%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
P.A. Trento,32,26249,2068,381,256,12%,215,40,3.9&,41,7.55,-4.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Piemonte,600,218277,13218,304,2527,19%,2364,54,0.8&,163,3.75,4.5%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Puglia,401,116511,54382,1357,1549,3%,1380,34,-0.8&,169,4.22,3%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Sardegna,207,37258,17003,1043,520,3%,472,29,1.7&,48,2.94,6.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Sicilia,885,130637,48001,966,1666,3%,1439,29,0.6&,227,4.57,0%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Toscana,422,131281,8460,227,770,9%,661,18,3.9&,109,2.93,2.8%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Umbria,66,34135,5032,572,347,7%,300,34,3.1&,47,5.34,0%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Valle d'Aosta,8,7745,307,245,48,16%,45,36,0&,3,2.39,50%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Veneto,533,306206,44519,907,2045,5%,1761,36,-1.9&,284,5.79,-0.7%,Dati della Protezione Civile del 25 Gennaio 2021 ore 18:44,2021-01-25
Abruzzo,152,41107,10047,769,457,5%,415,32,-2.6&,42,3.22,-4.5%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Basilicata,58,12971,6960,1250,85,1%,83,15,-3.5&,2,0.36,-66.7%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Calabria,232,31511,9846,512,302,3%,283,15,1.8&,19,0.99,-13.6%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Campania,976,215752,63233,1093,1571,2%,1470,25,1&,101,1.75,-3.8%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Emilia-Romagna,993,212590,49142,1100,2513,5%,2293,51,-5.3&,220,4.92,-0.9%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Friuli Venezia Giulia,421,64940,11490,949,732,6%,668,55,-2.6&,64,5.28,3.2%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Lazio,1039,199606,66132,1127,2827,4%,2544,43,-0.6&,283,4.82,-1.4%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Liguria,271,68128,4417,286,682,15%,617,40,-0.8&,65,4.21,-3%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Lombardia,1230,527988,48968,485,3922,8%,3530,35,3.5&,392,3.88,-3.7%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Marche,291,53394,8748,576,618,7%,545,36,-0.7&,73,4.81,0%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Molise,14,7953,1019,337,58,6%,51,17,-1.9&,7,2.32,0%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
P.A. Bolzano,559,37360,14006,2632,255,2%,225,42,-5.9&,30,5.64,7.1%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
P.A. Trento,157,26406,2019,372,252,12%,216,40,0.5&,36,6.63,-12.2%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Piemonte,728,219005,12734,293,2470,19%,2307,53,-2.4&,163,3.75,0%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Puglia,995,117506,53715,1340,1583,3%,1403,35,1.7&,180,4.49,6.5%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Sardegna,138,37396,16798,1030,512,3%,468,29,-0.8&,44,2.7,-8.3%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Sicilia,970,131607,47479,956,1664,4%,1435,29,-0.3&,229,4.61,0.9%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Toscana,346,131627,8426,226,785,9%,682,18,3.2&,103,2.77,-5.5%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Umbria,275,34410,5169,587,384,7%,334,38,11.3&,50,5.68,6.4%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Valle d'Aosta,2,7747,282,225,48,17%,44,35,-2.2&,4,3.19,33.3%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Veneto,746,306952,41787,851,2007,5%,1742,35,-1.1&,265,5.4,-6.7%,Dati della Protezione Civile del 26 Gennaio 2021 ore 19:05,2021-01-26
Abruzzo,344,41450,10076,772,442,4%,402,31,-3.1&,40,3.06,-4.8%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Basilicata,74,13045,6950,1248,83,1%,81,15,-2.4&,2,0.36,0%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Calabria,263,31774,9373,487,296,3%,274,14,-3.2&,22,1.14,15.8%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Campania,1178,216930,62995,1089,1554,2%,1447,25,-1.6&,107,1.85,5.9%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Emilia-Romagna,923,213501,48106,1077,2491,5%,2281,51,-0.5&,210,4.7,-4.5%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Friuli Venezia Giulia,584,65524,11392,940,707,6%,646,53,-3.3&,61,5.04,-4.7%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Lazio,1338,200944,64903,1107,2791,4%,2508,43,-1.4&,283,4.82,0%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Liguria,268,68396,4245,275,659,16%,591,38,-4.2&,68,4.41,4.6%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Lombardia,2293,530281,49038,485,3950,8%,3573,35,1.2&,377,3.73,-3.8%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Marche,466,53860,8986,592,626,7%,554,36,1.7&,72,4.74,-1.4%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Molise,63,8016,1022,338,59,6%,51,17,0&,8,2.65,14.3%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
P.A. Bolzano,548,37908,14244,2677,249,2%,217,41,-3.6&,32,6.01,6.7%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
P.A. Trento,242,26648,2068,381,236,11%,201,37,-6.9&,35,6.45,-2.8%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Piemonte,821,219826,12401,286,2443,20%,2280,53,-1.2&,163,3.75,0%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Puglia,1233,118739,53443,1333,1592,3%,1410,35,0.5&,182,4.54,1.1%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Sardegna,251,37647,16548,1015,514,3%,471,29,0.6&,43,2.64,-2.3%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Sicilia,996,132603,47030,947,1653,4%,1421,29,-1&,232,4.67,1.3%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Toscana,502,132129,8405,226,779,9%,676,18,-0.9&,103,2.77,0%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Umbria,415,34825,5129,583,384,7%,334,38,0&,50,5.68,0%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Valle d'Aosta,17,7764,270,215,47,17%,43,34,-2.3&,4,3.19,0%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Veneto,2385,309337,41345,842,1958,5%,1700,35,-2.4&,258,5.26,-2.6%,Dati della Protezione Civile del 27 Gennaio 2021 ore 18:30,2021-01-27
Abruzzo,268,41718,10066,771,439,4%,399,31,-0.7&,40,3.06,0%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Basilicata,42,13087,6927,1244,76,1%,74,13,-8.6&,2,0.36,0%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Calabria,302,32076,9078,472,294,3%,273,14,-0.4&,21,1.09,-4.5%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Campania,1313,218243,63589,1099,1572,2%,1474,25,1.9&,98,1.69,-8.4%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Emilia-Romagna,1265,214754,47539,1064,2451,5%,2242,50,-1.7&,209,4.68,-0.5%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Friuli Venezia Giulia,642,66166,11360,938,678,6%,619,51,-4.2&,59,4.87,-3.3%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Lazio,1263,202207,64642,1102,2747,4%,2458,42,-2&,289,4.93,2.1%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Liguria,372,68768,4246,275,655,15%,588,38,-0.5&,67,4.34,-1.5%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Lombardia,2603,532884,49839,493,3908,8%,3537,35,-1&,371,3.67,-1.6%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Marche,429,54289,9027,595,621,7%,551,36,-0.5&,70,4.61,-2.8%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Molise,83,8099,1036,343,57,6%,48,16,-5.9&,9,2.98,12.5%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
P.A. Bolzano,562,38470,14540,2733,246,2%,216,41,-0.5&,30,5.64,-6.3%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
P.A. Trento,207,26855,2163,399,225,10%,191,35,-5&,34,6.26,-2.9%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Piemonte,1062,220888,12484,288,2345,19%,2194,51,-3.8&,151,3.48,-7.4%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Puglia,1159,119898,52348,1306,1567,3%,1394,35,-1.1&,173,4.32,-4.9%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Sardegna,237,37884,16353,1003,508,3%,465,29,-1.3&,43,2.64,0%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Sicilia,994,133597,46176,929,1620,4%,1405,28,-1.1&,215,4.33,-7.3%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Toscana,620,132749,8674,233,772,9%,672,18,-0.6&,100,2.69,-2.9%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Umbria,369,35194,5303,602,392,7%,338,38,1.2&,54,6.13,8%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Valle d'Aosta,8,7772,263,210,45,17%,41,33,-4.7&,4,3.19,0%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Veneto,572,309909,38964,794,1848,5%,1599,33,-5.9&,249,5.07,-3.5%,Dati della Protezione Civile del 28 Gennaio 2021 ore 18:59,2021-01-28
Abruzzo,343,42059,10068,771,429,4%,389,30,-2.5&,40,3.06,0%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
Basilicata,45,13132,6136,1102,75,1%,71,13,-4.1&,4,0.72,100%,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12,2021-01-29
