Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes
P.A. Bolzano,21,500,9,100,20,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
P.A. Trento,18,517,3,90,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Piemonte,176,5824,23,628,99,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Puglia,176,2741,22,482,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Sardegna,169,1602,19,204,16,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Sicilia,574,3726,82,885,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Toscana,306,5033,51,570,35,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Umbria,43,662,5,84,43,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Veneto,215,6000,53,1000,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12,,,,,
Abruzzo,64,1324,4,177,23,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Basilicata,48,364,3,88,13,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Calabria,158,964,13,174,3,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Campania,268,3511,18,555,189,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Emilia-Romagna,392,7920,45,889,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Friuli Venezia Giulia,46,1277,10,175,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Lazio,395,6421,51,943,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Liguria,64,1682,6,217,12,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Lombardia,414,6369,60,1530,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Marche,61,971,20,212,59,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Molise,3,176,2,39,26,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
P.A. Bolzano,18,500,10,100,20,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
P.A. Trento,19,517,3,90,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Piemonte,181,5824,23,628,99,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Puglia,168,2741,19,482,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Sardegna,157,1602,19,204,16,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Sicilia,543,3733,80,886,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Toscana,299,5033,49,570,35,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Umbria,42,662,3,84,43,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Veneto,211,6000,51,1000,0,Dati della Protezione Civile del 24 Settembre 2021 ore 19:15,,,,,
Abruzzo,58,1324,4,177,23,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Basilicata,40,364,3,88,13,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Calabria,160,964,12,174,3,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Campania,266,3511,15,555,189,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Emilia-Romagna,383,7920,48,889,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Friuli Venezia Giulia,45,1277,9,175,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Lazio,396,6421,55,943,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Liguria,60,1682,7,217,12,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Lombardia,401,6369,58,1530,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Marche,58,971,21,212,60,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Molise,3,176,2,39,26,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
P.A. Bolzano,22,500,10,100,20,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
P.A. Trento,19,517,3,90,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Piemonte,193,5824,23,628,99,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Puglia,171,2741,19,482,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Sardegna,148,1602,18,204,16,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Sicilia,531,3735,77,886,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Toscana,288,5033,49,570,35,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Umbria,43,662,2,84,43,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Veneto,209,6000,46,1000,0,Dati della Protezione Civile del 25 Settembre 2021 ore 17:52,,,,,
Abruzzo,59,1324,4,177,23,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Basilicata,39,364,3,88,13,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Calabria,157,964,12,174,3,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Campania,259,3511,18,555,189,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Emilia-Romagna,386,7920,48,889,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Friuli Venezia Giulia,40,1277,9,175,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Lazio,392,6421,58,943,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Liguria,56,1682,8,217,12,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Lombardia,379,6369,61,1530,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Marche,55,971,21,212,60,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Molise,3,176,2,39,26,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
P.A. Bolzano,22,500,9,100,20,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
P.A. Trento,19,517,2,90,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Piemonte,199,5824,23,628,99,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Puglia,166,2741,19,482,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Sardegna,146,1602,17,204,16,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Sicilia,534,3735,73,886,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Toscana,274,5033,47,570,35,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Umbria,44,662,2,84,43,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Veneto,203,6000,47,1000,0,Dati della Protezione Civile del 26 Settembre 2021 ore 17:56,,,,,
Abruzzo,62,1324,5,177,23,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Basilicata,48,364,3,88,13,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Calabria,159,964,13,174,3,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Campania,258,3511,19,555,189,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Emilia-Romagna,390,7920,47,889,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Friuli Venezia Giulia,41,1277,8,175,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Lazio,393,6421,59,943,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Liguria,54,1696,8,217,12,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Lombardia,389,6369,62,1530,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Marche,55,971,21,212,60,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Molise,2,176,2,39,26,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
P.A. Bolzano,24,500,9,100,20,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
P.A. Trento,20,517,2,90,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Piemonte,208,5824,25,628,99,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Puglia,164,2741,18,482,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Sardegna,143,1602,15,204,16,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Sicilia,543,3735,72,886,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Toscana,284,5033,50,570,35,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Umbria,41,662,2,84,43,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Veneto,206,6000,48,1000,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45,,,,,
Abruzzo,61,1324,5,177,23,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Basilicata,39,364,2,88,13,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Calabria,166,964,13,174,3,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Campania,249,3511,18,555,189,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Emilia-Romagna,386,7920,47,889,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Friuli Venezia Giulia,41,1277,7,175,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Lazio,388,6421,57,943,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Liguria,53,1696,8,217,12,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Lombardia,393,6369,56,1530,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Marche,54,971,20,212,60,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
P.A. Bolzano,25,500,9,100,20,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
P.A. Trento,21,517,3,90,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Piemonte,192,5824,24,628,99,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Puglia,156,2741,15,482,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Sardegna,140,1602,14,204,16,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Sicilia,526,3737,70,886,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Toscana,281,5033,43,570,35,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Umbria,39,662,2,84,43,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Veneto,203,6000,45,1000,0,Dati della Protezione Civile del 28 Settembre 2021 ore 17:37,,,,,
Abruzzo,58,1324,5,177,23,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Basilicata,37,364,2,88,13,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Calabria,154,964,16,174,3,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Campania,241,3511,19,555,189,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Emilia-Romagna,385,7920,47,889,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Friuli Venezia Giulia,45,1277,6,175,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Lazio,389,6421,60,943,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Liguria,51,1696,8,217,12,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Lombardia,384,6369,58,1530,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Marche,55,971,20,212,60,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Molise,2,176,1,39,12,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
P.A. Bolzano,26,500,8,100,20,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
P.A. Trento,20,517,3,90,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Piemonte,183,5824,22,628,99,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Puglia,147,2741,16,482,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Sardegna,135,1602,13,204,16,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Sicilia,507,3737,65,886,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Toscana,256,5033,36,570,38,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Umbria,44,662,2,84,43,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Veneto,196,6000,43,1000,0,Dati della Protezione Civile del 29 Settembre 2021 ore 19:08,,,,,
Abruzzo,55,1324,5,177,23,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Basilicata,35,364,2,88,13,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Calabria,146,964,16,174,3,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Campania,224,3511,21,555,189,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Emilia-Romagna,374,7920,46,889,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Friuli Venezia Giulia,42,1277,7,175,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Lazio,382,6421,59,943,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Liguria,51,1696,6,217,12,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Lombardia,380,6369,57,1530,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Marche,57,971,18,212,60,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Molise,1,176,1,39,26,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
P.A. Bolzano,24,500,8,100,20,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
P.A. Trento,19,517,4,90,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Piemonte,184,5824,21,628,99,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Puglia,144,2741,16,482,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Sardegna,127,1602,10,204,16,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Sicilia,482,3737,63,892,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Toscana,238,5033,33,570,38,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Umbria,42,662,3,84,43,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Veneto,189,6000,44,1000,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34,,,,,
Abruzzo,52,1324,4,177,23,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Basilicata,36,364,2,88,13,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Calabria,141,964,15,174,3,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Campania,212,3511,21,555,189,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Emilia-Romagna,370,7920,46,889,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Friuli Venezia Giulia,39,1277,7,175,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Lazio,383,6421,54,943,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Liguria,47,1696,6,217,12,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Lombardia,372,6369,54,1530,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Marche,53,971,17,212,60,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Molise,1,176,1,39,26,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
P.A. Bolzano,27,500,6,100,20,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
P.A. Trento,16,517,4,90,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Piemonte,189,5824,20,628,99,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Puglia,142,2741,15,482,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Sardegna,121,1602,11,204,16,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Sicilia,463,3737,61,892,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Toscana,230,5033,35,570,38,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Umbria,47,662,3,84,43,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Veneto,175,6000,47,1000,0,Dati della Protezione Civile del 01 Ottobre 2021 ore 18:23,,,,,
Abruzzo,52,1324,5,177,23,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Basilicata,35,364,1,88,13,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Calabria,142,964,15,174,3,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Campania,206,3511,22,555,189,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Emilia-Romagna,370,7920,46,889,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Friuli Venezia Giulia,40,1277,7,175,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Lazio,363,6421,53,943,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Liguria,54,1696,5,217,12,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Lombardia,365,6369,58,1530,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Marche,47,971,18,212,60,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Molise,1,176,1,39,26,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
P.A. Bolzano,28,500,5,100,20,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
P.A. Trento,15,517,4,90,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Piemonte,185,5824,23,628,99,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Puglia,143,2741,15,482,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Sardegna,111,1602,15,204,16,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Sicilia,450,3737,55,892,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Toscana,228,5033,35,570,39,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Umbria,46,662,4,84,43,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Veneto,173,6000,45,1000,0,Dati della Protezione Civile del 02 Ottobre 2021 ore 18:14,,,,,
Abruzzo,53,1324,5,177,23,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Basilicata,33,364,1,88,13,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Calabria,132,964,15,174,3,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Campania,203,3511,18,555,189,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Emilia-Romagna,370,7920,47,889,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Friuli Venezia Giulia,37,1277,9,175,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Lazio,354,6421,56,943,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Liguria,55,1696,5,217,12,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Lombardia,359,6369,57,1530,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Marche,39,971,19,212,60,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
P.A. Bolzano,28,500,5,100,20,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
P.A. Trento,16,517,4,90,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Piemonte,189,5824,23,628,99,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Puglia,141,2741,17,482,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Sardegna,107,1602,15,204,16,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Sicilia,424,3737,50,892,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Toscana,229,5033,35,570,37,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Umbria,47,662,5,84,43,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Veneto,170,6000,44,1000,0,Dati della Protezione Civile del 03 Ottobre 2021 ore 18:27,,,,,
Abruzzo,54,1324,5,177,23,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Basilicata,32,364,1,88,13,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Calabria,132,964,14,174,3,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Campania,209,3511,17,555,189,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Emilia-Romagna,377,7920,50,889,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Friuli Venezia Giulia,37,1277,10,175,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Lazio,365,6421,57,943,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Liguria,51,1696,6,217,12,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Lombardia,347,6369,56,1530,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Marche,41,971,18,212,60,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
P.A. Bolzano,32,500,5,100,20,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
P.A. Trento,16,517,5,90,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Piemonte,191,5824,23,628,99,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Puglia,150,2745,16,482,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Sardegna,110,1602,17,204,16,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Sicilia,436,3737,50,892,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Toscana,235,5033,34,570,37,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Umbria,44,662,6,84,43,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Veneto,168,6000,46,1000,0,Dati della Protezione Civile del 04 Ottobre 2021 ore 18:30,,,,,
Abruzzo,49,1324,6,177,23,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Basilicata,28,364,1,88,13,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Calabria,129,964,14,174,3,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Campania,208,3511,16,555,189,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Emilia-Romagna,361,7920,50,889,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Friuli Venezia Giulia,37,1277,9,175,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Lazio,368,6421,57,943,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Liguria,57,1696,4,217,12,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Lombardia,358,6369,59,1530,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Marche,45,971,16,212,60,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Molise,2,176,1,39,26,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
P.A. Bolzano,27,500,6,100,20,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
P.A. Trento,16,517,5,90,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Piemonte,182,5824,24,628,99,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Puglia,151,2745,17,482,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Sardegna,107,1602,18,204,16,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Sicilia,409,3738,49,891,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Toscana,236,5033,32,570,37,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Umbria,44,662,6,84,43,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Veneto,152,6000,43,1000,0,Dati della Protezione Civile del 05 Ottobre 2021 ore 18:47,,,,,
Abruzzo,50,1324,6,177,23,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
Basilicata,29,364,1,88,13,Dati della Protezione Civile del 06 Ottobre 2021 ore 18:22,,,,,
