codice_regione,data,codice_nuts_2,denominazione_regione,soglia250
17,2020-03-14T17:00:00,ITF5,Basilicata,1
18,2020-03-14T17:00:00,ITF6,Calabria,3
15,2020-03-14T17:00:00,ITF3,Campania,4
08,2020-03-14T17:00:00,ITH5,Emilia-Romagna,37
06,2020-03-14T17:00:00,ITH4,Friuli Venezia Giulia,21
12,2020-03-14T17:00:00,ITI4,Lazio,5
07,2020-03-14T17:00:00,ITC3,Liguria,27
03,2020-03-14T17:00:00,ITC4,Lombardia,82
11,2020-03-14T17:00:00,ITI3,Marche,46
14,2020-03-14T17:00:00,ITF2,Molise,1
21,2020-03-14T17:00:00,ITH1,P.A. Bolzano,31
22,2020-03-14T17:00:00,ITH2,P.A. Trento,35
01,2020-03-14T17:00:00,ITC1,Piemonte,15
16,2020-03-14T17:00:00,ITF4,Puglia,4
20,2020-03-14T17:00:00,ITG2,Sardegna,3
19,2020-03-14T17:00:00,ITG1,Sicilia,2
09,2020-03-14T17:00:00,ITI1,Toscana,14
10,2020-03-14T17:00:00,ITI2,Umbria,10
02,2020-03-14T17:00:00,ITC2,Valle d'Aosta,27
05,2020-03-14T17:00:00,ITH3,Veneto,29
13,2020-03-15T17:00:00,ITF1,Abruzzo,9
17,2020-03-15T17:00:00,ITF5,Basilicata,1
18,2020-03-15T17:00:00,ITF6,Calabria,3
15,2020-03-15T17:00:00,ITF3,Campania,4
08,2020-03-15T17:00:00,ITH5,Emilia-Romagna,43
06,2020-03-15T17:00:00,ITH4,Friuli Venezia Giulia,24
12,2020-03-15T17:00:00,ITI4,Lazio,6
07,2020-03-15T17:00:00,ITC3,Liguria,32
03,2020-03-15T17:00:00,ITC4,Lombardia,91
11,2020-03-15T17:00:00,ITI3,Marche,57
14,2020-03-15T17:00:00,ITF2,Molise,1
21,2020-03-15T17:00:00,ITH1,P.A. Bolzano,37
22,2020-03-15T17:00:00,ITH2,P.A. Trento,65
01,2020-03-15T17:00:00,ITC1,Piemonte,17
16,2020-03-15T17:00:00,ITF4,Puglia,5
20,2020-03-15T17:00:00,ITG2,Sardegna,4
19,2020-03-15T17:00:00,ITG1,Sicilia,3
09,2020-03-15T17:00:00,ITI1,Toscana,17
10,2020-03-15T17:00:00,ITI2,Umbria,13
02,2020-03-15T17:00:00,ITC2,Valle d'Aosta,38
05,2020-03-15T17:00:00,ITH3,Veneto,31
13,2020-03-16T17:00:00,ITF1,Abruzzo,11
17,2020-03-16T17:00:00,ITF5,Basilicata,1
18,2020-03-16T17:00:00,ITF6,Calabria,4
15,2020-03-16T17:00:00,ITF3,Campania,5
08,2020-03-16T17:00:00,ITH5,Emilia-Romagna,48
06,2020-03-16T17:00:00,ITH4,Friuli Venezia Giulia,24
12,2020-03-16T17:00:00,ITI4,Lazio,7
07,2020-03-16T17:00:00,ITC3,Liguria,37
03,2020-03-16T17:00:00,ITC4,Lombardia,92
11,2020-03-16T17:00:00,ITI3,Marche,61
14,2020-03-16T17:00:00,ITF2,Molise,2
21,2020-03-16T17:00:00,ITH1,P.A. Bolzano,44
22,2020-03-16T17:00:00,ITH2,P.A. Trento,63
01,2020-03-16T17:00:00,ITC1,Piemonte,27
16,2020-03-16T17:00:00,ITF4,Puglia,5
20,2020-03-16T17:00:00,ITG2,Sardegna,5
19,2020-03-16T17:00:00,ITG1,Sicilia,3
09,2020-03-16T17:00:00,ITI1,Toscana,18
10,2020-03-16T17:00:00,ITI2,Umbria,16
02,2020-03-16T17:00:00,ITC2,Valle d'Aosta,72
05,2020-03-16T17:00:00,ITH3,Veneto,35
