data,codice_regione,denominazione_regione,mese,terapia_intensiva_mm,ingressi_terapia_intensiva_mm
2021-01-09T17:00:00,8,Emilia-Romagna,1,237.42857142857142,15.714285714285714
2021-01-09T17:00:00,6,Friuli Venezia Giulia,1,62.142857142857146,5.142857142857143
2021-01-09T17:00:00,12,Lazio,1,310.0,15.857142857142858
2021-01-09T17:00:00,7,Liguria,1,68.28571428571429,4.0
2021-01-09T17:00:00,3,Lombardia,1,473.42857142857144,22.0
2021-01-09T17:00:00,11,Marche,1,67.42857142857143,4.857142857142857
2021-01-09T17:00:00,14,Molise,1,8.857142857142858,0.7142857142857143
2021-01-09T17:00:00,21,P.A. Bolzano,1,25.142857142857142,0.8571428571428571
2021-01-09T17:00:00,22,P.A. Trento,1,45.42857142857143,3.0
2021-01-09T17:00:00,1,Piemonte,1,183.14285714285714,10.857142857142858
2021-01-09T17:00:00,16,Puglia,1,152.85714285714286,18.0
2021-01-09T17:00:00,20,Sardegna,1,46.142857142857146,2.857142857142857
2021-01-09T17:00:00,19,Sicilia,1,193.57142857142858,14.285714285714286
2021-01-09T17:00:00,9,Toscana,1,142.42857142857142,8.142857142857142
2021-01-09T17:00:00,10,Umbria,1,44.857142857142854,3.142857142857143
2021-01-09T17:00:00,2,Valle d'Aosta,1,1.1428571428571428,0.0
2021-01-09T17:00:00,5,Veneto,1,357.42857142857144,27.142857142857142
2021-01-10T17:00:00,13,Abruzzo,1,38.57142857142857,2.7142857142857144
2021-01-10T17:00:00,17,Basilicata,1,4.0,0.42857142857142855
2021-01-10T17:00:00,18,Calabria,1,21.0,2.2857142857142856
2021-01-10T17:00:00,15,Campania,1,100.14285714285714,11.0
2021-01-10T17:00:00,8,Emilia-Romagna,1,237.85714285714286,15.428571428571429
2021-01-10T17:00:00,6,Friuli Venezia Giulia,1,62.57142857142857,5.285714285714286
2021-01-10T17:00:00,12,Lazio,1,312.0,16.142857142857142
2021-01-10T17:00:00,7,Liguria,1,67.28571428571429,3.857142857142857
2021-01-10T17:00:00,3,Lombardia,1,469.14285714285717,23.571428571428573
2021-01-10T17:00:00,11,Marche,1,68.28571428571429,4.857142857142857
2021-01-10T17:00:00,14,Molise,1,8.428571428571429,0.5714285714285714
2021-01-10T17:00:00,21,P.A. Bolzano,1,25.142857142857142,0.7142857142857143
2021-01-10T17:00:00,22,P.A. Trento,1,45.714285714285715,2.5714285714285716
2021-01-10T17:00:00,1,Piemonte,1,181.42857142857142,10.428571428571429
2021-01-10T17:00:00,16,Puglia,1,157.0,17.571428571428573
2021-01-10T17:00:00,20,Sardegna,1,46.714285714285715,2.7142857142857144
2021-01-10T17:00:00,19,Sicilia,1,197.0,13.571428571428571
2021-01-10T17:00:00,9,Toscana,1,141.42857142857142,8.285714285714286
2021-01-10T17:00:00,10,Umbria,1,45.142857142857146,3.7142857142857144
2021-01-10T17:00:00,2,Valle d'Aosta,1,1.0,0.0
2021-01-10T17:00:00,5,Veneto,1,356.0,29.714285714285715
2021-01-11T17:00:00,13,Abruzzo,1,38.42857142857143,2.7142857142857144
2021-01-11T17:00:00,17,Basilicata,1,4.285714285714286,0.5714285714285714
2021-01-11T17:00:00,18,Calabria,1,21.714285714285715,2.4285714285714284
2021-01-11T17:00:00,15,Campania,1,102.0,13.142857142857142
2021-01-11T17:00:00,8,Emilia-Romagna,1,238.28571428571428,15.714285714285714
2021-01-11T17:00:00,6,Friuli Venezia Giulia,1,63.142857142857146,5.428571428571429
2021-01-11T17:00:00,12,Lazio,1,312.42857142857144,16.142857142857142
2021-01-11T17:00:00,7,Liguria,1,65.71428571428571,3.4285714285714284
2021-01-11T17:00:00,3,Lombardia,1,466.0,23.714285714285715
2021-01-11T17:00:00,11,Marche,1,70.57142857142857,5.571428571428571
2021-01-11T17:00:00,14,Molise,1,8.0,0.5714285714285714
2021-01-11T17:00:00,21,P.A. Bolzano,1,25.0,0.5714285714285714
2021-01-11T17:00:00,22,P.A. Trento,1,46.0,3.0
2021-01-11T17:00:00,1,Piemonte,1,180.57142857142858,10.857142857142858
2021-01-11T17:00:00,16,Puglia,1,161.57142857142858,17.857142857142858
2021-01-11T17:00:00,20,Sardegna,1,47.42857142857143,2.5714285714285716
2021-01-11T17:00:00,19,Sicilia,1,200.14285714285714,14.285714285714286
2021-01-11T17:00:00,9,Toscana,1,141.85714285714286,8.571428571428571
2021-01-11T17:00:00,10,Umbria,1,46.142857142857146,3.857142857142857
2021-01-11T17:00:00,2,Valle d'Aosta,1,1.0,0.0
2021-01-11T17:00:00,5,Veneto,1,354.57142857142856,29.0
2021-01-12T17:00:00,13,Abruzzo,1,38.285714285714285,2.5714285714285716
2021-01-12T17:00:00,17,Basilicata,1,4.285714285714286,0.5714285714285714
2021-01-12T17:00:00,18,Calabria,1,22.142857142857142,2.5714285714285716
2021-01-12T17:00:00,15,Campania,1,103.71428571428571,12.857142857142858
2021-01-12T17:00:00,8,Emilia-Romagna,1,239.0,14.714285714285714
2021-01-12T17:00:00,6,Friuli Venezia Giulia,1,64.42857142857143,6.0
2021-01-12T17:00:00,12,Lazio,1,315.0,16.0
2021-01-12T17:00:00,7,Liguria,1,64.57142857142857,3.4285714285714284
2021-01-12T17:00:00,3,Lombardia,1,464.7142857142857,23.857142857142858
2021-01-12T17:00:00,11,Marche,1,72.57142857142857,5.571428571428571
2021-01-12T17:00:00,14,Molise,1,7.714285714285714,0.5714285714285714
2021-01-12T17:00:00,21,P.A. Bolzano,1,24.714285714285715,0.42857142857142855
2021-01-12T17:00:00,22,P.A. Trento,1,45.714285714285715,2.5714285714285716
2021-01-12T17:00:00,1,Piemonte,1,178.28571428571428,9.142857142857142
2021-01-12T17:00:00,16,Puglia,1,164.14285714285714,17.714285714285715
2021-01-12T17:00:00,20,Sardegna,1,47.42857142857143,2.4285714285714284
2021-01-12T17:00:00,19,Sicilia,1,202.85714285714286,15.0
2021-01-12T17:00:00,9,Toscana,1,141.57142857142858,8.0
2021-01-12T17:00:00,10,Umbria,1,48.0,4.428571428571429
2021-01-12T17:00:00,2,Valle d'Aosta,1,1.0,0.0
2021-01-12T17:00:00,5,Veneto,1,354.2857142857143,30.714285714285715
2021-01-13T17:00:00,13,Abruzzo,1,38.42857142857143,2.7142857142857144
2021-01-13T17:00:00,17,Basilicata,1,4.285714285714286,0.42857142857142855
2021-01-13T17:00:00,18,Calabria,1,22.857142857142858,2.7142857142857144
2021-01-13T17:00:00,15,Campania,1,104.71428571428571,12.571428571428571
2021-01-13T17:00:00,8,Emilia-Romagna,1,238.0,13.714285714285714
2021-01-13T17:00:00,6,Friuli Venezia Giulia,1,65.42857142857143,6.142857142857143
2021-01-13T17:00:00,12,Lazio,1,316.0,16.857142857142858
2021-01-13T17:00:00,7,Liguria,1,64.14285714285714,4.142857142857143
2021-01-13T17:00:00,3,Lombardia,1,463.42857142857144,24.0
2021-01-13T17:00:00,11,Marche,1,73.42857142857143,5.285714285714286
2021-01-13T17:00:00,14,Molise,1,7.714285714285714,0.8571428571428571
2021-01-13T17:00:00,21,P.A. Bolzano,1,24.142857142857142,0.2857142857142857
2021-01-13T17:00:00,22,P.A. Trento,1,45.57142857142857,2.5714285714285716
2021-01-13T17:00:00,1,Piemonte,1,175.42857142857142,7.0
2021-01-13T17:00:00,16,Puglia,1,165.85714285714286,16.714285714285715
2021-01-13T17:00:00,20,Sardegna,1,47.42857142857143,2.5714285714285716
2021-01-13T17:00:00,19,Sicilia,1,204.85714285714286,14.571428571428571
2021-01-13T17:00:00,9,Toscana,1,140.71428571428572,7.142857142857143
2021-01-13T17:00:00,10,Umbria,1,48.714285714285715,3.7142857142857144
2021-01-13T17:00:00,2,Valle d'Aosta,1,1.1428571428571428,0.14285714285714285
2021-01-13T17:00:00,5,Veneto,1,353.2857142857143,32.42857142857143
2021-01-14T17:00:00,13,Abruzzo,1,39.0,3.142857142857143
2021-01-14T17:00:00,17,Basilicata,1,4.285714285714286,0.42857142857142855
2021-01-14T17:00:00,18,Calabria,1,24.0,3.0
2021-01-14T17:00:00,15,Campania,1,105.85714285714286,13.0
2021-01-14T17:00:00,8,Emilia-Romagna,1,237.0,13.571428571428571
2021-01-14T17:00:00,6,Friuli Venezia Giulia,1,66.0,6.0
2021-01-14T17:00:00,12,Lazio,1,313.85714285714283,15.714285714285714
2021-01-14T17:00:00,7,Liguria,1,64.57142857142857,4.714285714285714
2021-01-14T17:00:00,3,Lombardia,1,462.7142857142857,24.142857142857142
2021-01-14T17:00:00,11,Marche,1,74.42857142857143,5.571428571428571
2021-01-14T17:00:00,14,Molise,1,7.714285714285714,0.7142857142857143
2021-01-14T17:00:00,21,P.A. Bolzano,1,23.857142857142858,0.42857142857142855
2021-01-14T17:00:00,22,P.A. Trento,1,44.857142857142854,2.142857142857143
2021-01-14T17:00:00,1,Piemonte,1,173.71428571428572,8.142857142857142
2021-01-14T17:00:00,16,Puglia,1,167.0,16.0
2021-01-14T17:00:00,20,Sardegna,1,47.714285714285715,3.0
2021-01-14T17:00:00,19,Sicilia,1,206.14285714285714,14.142857142857142
2021-01-14T17:00:00,9,Toscana,1,138.71428571428572,6.285714285714286
2021-01-14T17:00:00,10,Umbria,1,49.714285714285715,4.0
2021-01-14T17:00:00,2,Valle d'Aosta,1,1.2857142857142858,0.14285714285714285
2021-01-14T17:00:00,5,Veneto,1,348.85714285714283,33.42857142857143
2021-01-15T17:00:00,13,Abruzzo,1,39.714285714285715,3.2857142857142856
2021-01-15T17:00:00,17,Basilicata,1,4.285714285714286,0.42857142857142855
2021-01-15T17:00:00,18,Calabria,1,24.857142857142858,2.7142857142857144
2021-01-15T17:00:00,15,Campania,1,104.85714285714286,12.142857142857142
2021-01-15T17:00:00,8,Emilia-Romagna,1,235.0,12.142857142857142
2021-01-15T17:00:00,6,Friuli Venezia Giulia,1,66.57142857142857,6.285714285714286
2021-01-15T17:00:00,12,Lazio,1,312.42857142857144,15.571428571428571
2021-01-15T17:00:00,7,Liguria,1,63.42857142857143,3.7142857142857144
2021-01-15T17:00:00,3,Lombardia,1,462.7142857142857,23.285714285714285
2021-01-15T17:00:00,11,Marche,1,76.42857142857143,6.571428571428571
2021-01-15T17:00:00,14,Molise,1,7.571428571428571,0.5714285714285714
2021-01-15T17:00:00,21,P.A. Bolzano,1,23.714285714285715,0.5714285714285714
2021-01-15T17:00:00,22,P.A. Trento,1,44.285714285714285,2.5714285714285716
2021-01-15T17:00:00,1,Piemonte,1,171.85714285714286,8.571428571428571
2021-01-15T17:00:00,16,Puglia,1,164.85714285714286,12.285714285714286
2021-01-15T17:00:00,20,Sardegna,1,47.714285714285715,3.142857142857143
2021-01-15T17:00:00,19,Sicilia,1,207.57142857142858,14.428571428571429
2021-01-15T17:00:00,9,Toscana,1,137.28571428571428,6.714285714285714
2021-01-15T17:00:00,10,Umbria,1,50.714285714285715,4.285714285714286
2021-01-15T17:00:00,2,Valle d'Aosta,1,1.5714285714285714,0.42857142857142855
2021-01-15T17:00:00,5,Veneto,1,344.57142857142856,33.57142857142857
2021-01-16T17:00:00,13,Abruzzo,1,39.857142857142854,2.857142857142857
2021-01-16T17:00:00,17,Basilicata,1,4.142857142857143,0.2857142857142857
2021-01-16T17:00:00,18,Calabria,1,25.571428571428573,2.5714285714285716
2021-01-16T17:00:00,15,Campania,1,103.42857142857143,11.714285714285714
2021-01-16T17:00:00,8,Emilia-Romagna,1,233.71428571428572,13.0
2021-01-16T17:00:00,6,Friuli Venezia Giulia,1,67.14285714285714,6.857142857142857
2021-01-16T17:00:00,12,Lazio,1,309.0,14.857142857142858
2021-01-16T17:00:00,7,Liguria,1,63.142857142857146,3.5714285714285716
2021-01-16T17:00:00,3,Lombardia,1,462.42857142857144,22.857142857142858
2021-01-16T17:00:00,11,Marche,1,78.42857142857143,6.714285714285714
