DATA_DECESSO,DECESSI,iss_date
23/03/2021,468,08/08/2022
24/03/2021,449,08/08/2022
25/03/2021,434,08/08/2022
26/03/2021,442,08/08/2022
27/03/2021,376,08/08/2022
28/03/2021,387,08/08/2022
29/03/2021,456,08/08/2022
30/03/2021,419,08/08/2022
31/03/2021,450,08/08/2022
01/04/2021,450,08/08/2022
02/04/2021,444,08/08/2022
03/04/2021,449,08/08/2022
04/04/2021,385,08/08/2022
05/04/2021,407,08/08/2022
06/04/2021,483,08/08/2022
07/04/2021,409,08/08/2022
08/04/2021,430,08/08/2022
09/04/2021,423,08/08/2022
10/04/2021,391,08/08/2022
11/04/2021,382,08/08/2022
12/04/2021,408,08/08/2022
13/04/2021,383,08/08/2022
14/04/2021,343,08/08/2022
15/04/2021,328,08/08/2022
16/04/2021,325,08/08/2022
17/04/2021,337,08/08/2022
18/04/2021,314,08/08/2022
19/04/2021,322,08/08/2022
20/04/2021,333,08/08/2022
21/04/2021,344,08/08/2022
22/04/2021,290,08/08/2022
23/04/2021,330,08/08/2022
24/04/2021,313,08/08/2022
25/04/2021,284,08/08/2022
26/04/2021,316,08/08/2022
27/04/2021,241,08/08/2022
28/04/2021,285,08/08/2022
29/04/2021,243,08/08/2022
30/04/2021,247,08/08/2022
01/05/2021,207,08/08/2022
02/05/2021,226,08/08/2022
03/05/2021,226,08/08/2022
04/05/2021,262,08/08/2022
05/05/2021,213,08/08/2022
06/05/2021,191,08/08/2022
07/05/2021,198,08/08/2022
08/05/2021,174,08/08/2022
09/05/2021,172,08/08/2022
10/05/2021,199,08/08/2022
11/05/2021,197,08/08/2022
12/05/2021,158,08/08/2022
13/05/2021,146,08/08/2022
14/05/2021,150,08/08/2022
15/05/2021,139,08/08/2022
16/05/2021,127,08/08/2022
17/05/2021,143,08/08/2022
18/05/2021,119,08/08/2022
19/05/2021,108,08/08/2022
20/05/2021,129,08/08/2022
21/05/2021,90,08/08/2022
22/05/2021,110,08/08/2022
23/05/2021,92,08/08/2022
24/05/2021,95,08/08/2022
25/05/2021,92,08/08/2022
26/05/2021,87,08/08/2022
27/05/2021,92,08/08/2022
28/05/2021,78,08/08/2022
29/05/2021,72,08/08/2022
30/05/2021,51,08/08/2022
31/05/2021,67,08/08/2022
01/06/2021,60,08/08/2022
02/06/2021,41,08/08/2022
03/06/2021,72,08/08/2022
04/06/2021,49,08/08/2022
05/06/2021,56,08/08/2022
06/06/2021,51,08/08/2022
07/06/2021,65,08/08/2022
08/06/2021,41,08/08/2022
09/06/2021,42,08/08/2022
10/06/2021,35,08/08/2022
11/06/2021,32,08/08/2022
12/06/2021,36,08/08/2022
13/06/2021,26,08/08/2022
14/06/2021,36,08/08/2022
15/06/2021,31,08/08/2022
16/06/2021,37,08/08/2022
17/06/2021,31,08/08/2022
18/06/2021,24,08/08/2022
19/06/2021,17,08/08/2022
20/06/2021,24,08/08/2022
21/06/2021,18,08/08/2022
22/06/2021,24,08/08/2022
23/06/2021,24,08/08/2022
24/06/2021,21,08/08/2022
25/06/2021,11,08/08/2022
26/06/2021,21,08/08/2022
27/06/2021,12,08/08/2022
28/06/2021,19,08/08/2022
29/06/2021,15,08/08/2022
30/06/2021,14,08/08/2022
01/07/2021,14,08/08/2022
02/07/2021,11,08/08/2022
03/07/2021,15,08/08/2022
04/07/2021,11,08/08/2022
05/07/2021,12,08/08/2022
06/07/2021,9,08/08/2022
07/07/2021,9,08/08/2022
08/07/2021,13,08/08/2022
09/07/2021,11,08/08/2022
10/07/2021,11,08/08/2022
11/07/2021,8,08/08/2022
12/07/2021,12,08/08/2022
