DATA_INIZIO_SINTOMI,CASI,iss_date
17/10/2021,1925,20/10/2022
17/10/2022,6720,20/10/2022
17/11/2020,13169,20/10/2022
17/11/2021,6492,20/10/2022
17/12/2020,7394,20/10/2022
17/12/2021,14516,20/10/2022
18/01/2021,6923,20/10/2022
18/01/2022,50242,20/10/2022
18/02/2020,163,20/10/2022
18/02/2021,8445,20/10/2022
18/02/2022,14553,20/10/2022
18/03/2020,4782,20/10/2022
18/03/2021,12175,20/10/2022
18/03/2022,22091,20/10/2022
18/04/2020,1300,20/10/2022
18/04/2021,6573,20/10/2022
18/04/2022,16223,20/10/2022
18/05/2020,306,20/10/2022
18/05/2021,2366,20/10/2022
18/05/2022,8930,20/10/2022
18/06/2020,96,20/10/2022
18/06/2021,395,20/10/2022
18/06/2022,11376,20/10/2022
18/07/2020,98,20/10/2022
18/07/2021,2571,20/10/2022
18/07/2022,26950,20/10/2022
18/08/2020,634,20/10/2022
18/08/2021,4272,20/10/2022
18/08/2022,7329,20/10/2022
18/09/2020,874,20/10/2022
18/09/2021,1955,20/10/2022
18/09/2022,5882,20/10/2022
18/10/2020,9273,20/10/2022
18/10/2021,2583,20/10/2022
18/10/2022,2868,20/10/2022
18/11/2020,14037,20/10/2022
18/11/2021,6525,20/10/2022
18/12/2020,7880,20/10/2022
18/12/2021,14878,20/10/2022
19/01/2021,6319,20/10/2022
19/01/2022,46299,20/10/2022
19/02/2020,145,20/10/2022
19/02/2021,8587,20/10/2022
19/02/2022,13066,20/10/2022
19/03/2020,4270,20/10/2022
19/03/2021,12159,20/10/2022
19/03/2022,20661,20/10/2022
19/04/2020,1047,20/10/2022
19/04/2021,7852,20/10/2022
19/04/2022,25413,20/10/2022
19/05/2020,252,20/10/2022
19/05/2021,2162,20/10/2022
19/05/2022,7473,20/10/2022
19/06/2020,91,20/10/2022
19/06/2021,339,20/10/2022
19/06/2022,12668,20/10/2022
19/07/2020,93,20/10/2022
19/07/2021,2948,20/10/2022
19/07/2022,21700,20/10/2022
19/08/2020,584,20/10/2022
19/08/2021,3858,20/10/2022
19/08/2022,6822,20/10/2022
19/09/2020,856,20/10/2022
19/09/2021,1852,20/10/2022
19/09/2022,9469,20/10/2022
19/10/2020,13026,20/10/2022
19/10/2021,2455,20/10/2022
19/10/2022,1782,20/10/2022
19/11/2020,12266,20/10/2022
19/11/2021,6319,20/10/2022
19/12/2020,7115,20/10/2022
19/12/2021,16315,20/10/2022
20/01/2021,6798,20/10/2022
20/01/2022,43672,20/10/2022
20/02/2020,408,20/10/2022
20/02/2021,9278,20/10/2022
20/02/2022,13046,20/10/2022
20/03/2020,6193,20/10/2022
20/03/2021,12102,20/10/2022
20/03/2022,20331,20/10/2022
20/04/2020,1905,20/10/2022
20/04/2021,7493,20/10/2022
20/04/2022,22588,20/10/2022
20/05/2020,292,20/10/2022
20/05/2021,1991,20/10/2022
20/05/2022,6896,20/10/2022
20/06/2020,69,20/10/2022
20/06/2021,362,20/10/2022
20/06/2022,19876,20/10/2022
20/07/2020,144,20/10/2022
20/07/2021,3226,20/10/2022
20/07/2022,20324,20/10/2022
20/08/2020,597,20/10/2022
20/08/2021,3761,20/10/2022
20/08/2022,6452,20/10/2022
20/09/2020,836,20/10/2022
20/09/2021,2164,20/10/2022
20/09/2022,8078,20/10/2022
20/10/2020,14059,20/10/2022
20/10/2021,2551,20/10/2022
20/10/2022,<5,20/10/2022
20/11/2020,13034,20/10/2022
20/11/2021,6582,20/10/2022
20/12/2020,7618,20/10/2022
20/12/2021,23993,20/10/2022
21/01/2021,5929,20/10/2022
21/01/2022,39588,20/10/2022
21/02/2020,317,20/10/2022
21/02/2021,8492,20/10/2022
21/02/2022,17288,20/10/2022
21/03/2020,3837,20/10/2022
21/03/2021,10698,20/10/2022
21/03/2022,29692,20/10/2022
21/04/2020,1194,20/10/2022
21/04/2021,7270,20/10/2022
21/04/2022,20366,20/10/2022
21/05/2020,227,20/10/2022
21/05/2021,1800,20/10/2022
21/05/2022,6147,20/10/2022
21/06/2020,66,20/10/2022
21/06/2021,393,20/10/2022
21/06/2022,17673,20/10/2022
21/07/2020,129,20/10/2022
21/07/2021,3195,20/10/2022
21/07/2022,17581,20/10/2022
21/08/2020,637,20/10/2022
21/08/2021,3473,20/10/2022
21/08/2022,5985,20/10/2022
21/09/2020,993,20/10/2022
21/09/2021,1987,20/10/2022
21/09/2022,7822,20/10/2022
21/10/2020,13376,20/10/2022
21/10/2021,2567,20/10/2022
21/11/2020,10478,20/10/2022
21/11/2021,6221,20/10/2022
21/12/2020,8632,20/10/2022
21/12/2021,24211,20/10/2022
22/01/2021,6305,20/10/2022
22/01/2022,35939,20/10/2022
22/02/2020,400,20/10/2022
22/02/2021,11299,20/10/2022
22/02/2022,14731,20/10/2022
22/03/2020,3797,20/10/2022
22/03/2021,13933,20/10/2022
22/03/2022,25584,20/10/2022
22/04/2020,1231,20/10/2022
22/04/2021,6980,20/10/2022
22/04/2022,17967,20/10/2022
22/05/2020,193,20/10/2022
22/05/2021,1577,20/10/2022
22/05/2022,5856,20/10/2022
22/06/2020,90,20/10/2022
22/06/2021,410,20/10/2022
22/06/2022,17792,20/10/2022
22/07/2020,123,20/10/2022
22/07/2021,2999,20/10/2022
22/07/2022,16627,20/10/2022
22/08/2020,601,20/10/2022
22/08/2021,3564,20/10/2022
22/08/2022,9502,20/10/2022
22/09/2020,967,20/10/2022
22/09/2021,1988,20/10/2022
22/09/2022,7854,20/10/2022
22/10/2020,13523,20/10/2022
22/10/2021,2672,20/10/2022
22/11/2020,8916,20/10/2022
22/11/2021,8192,20/10/2022
22/12/2020,8468,20/10/2022
22/12/2021,25986,20/10/2022
23/01/2021,6210,20/10/2022
23/01/2022,34082,20/10/2022
23/02/2020,500,20/10/2022
23/02/2021,10341,20/10/2022
23/02/2022,15205,20/10/2022
23/03/2020,4380,20/10/2022
23/03/2021,12278,20/10/2022
23/03/2022,25379,20/10/2022
23/04/2020,1249,20/10/2022
23/04/2021,6889,20/10/2022
23/04/2022,14553,20/10/2022
23/05/2020,141,20/10/2022
23/05/2021,1588,20/10/2022
23/05/2022,8817,20/10/2022
23/06/2020,79,20/10/2022
23/06/2021,389,20/10/2022
23/06/2022,17105,20/10/2022
23/07/2020,146,20/10/2022
23/07/2021,2946,20/10/2022
23/07/2022,14479,20/10/2022
23/08/2020,615,20/10/2022
23/08/2021,4241,20/10/2022
23/08/2022,7893,20/10/2022
23/09/2020,915,20/10/2022
23/09/2021,1893,20/10/2022
23/09/2022,7952,20/10/2022
23/10/2020,15265,20/10/2022
23/10/2021,2598,20/10/2022
23/11/2020,11499,20/10/2022
23/11/2021,7629,20/10/2022
23/12/2020,8713,20/10/2022
23/12/2021,26921,20/10/2022
24/01/2021,5667,20/10/2022
24/01/2022,46820,20/10/2022
24/02/2020,677,20/10/2022
24/02/2021,10560,20/10/2022
24/02/2022,12658,20/10/2022
24/03/2020,3578,20/10/2022
24/03/2021,11851,20/10/2022
24/03/2022,23593,20/10/2022
24/04/2020,1123,20/10/2022
24/04/2021,6285,20/10/2022
24/04/2022,12497,20/10/2022
24/05/2020,105,20/10/2022
24/05/2021,1886,20/10/2022
24/05/2022,6948,20/10/2022
24/06/2020,100,20/10/2022
24/06/2021,362,20/10/2022
24/06/2022,16955,20/10/2022
24/07/2020,118,20/10/2022
24/07/2021,2902,20/10/2022
24/07/2022,13614,20/10/2022
24/08/2020,705,20/10/2022
24/08/2021,3761,20/10/2022
24/08/2022,6860,20/10/2022
24/09/2020,866,20/10/2022
24/09/2021,1923,20/10/2022
24/09/2022,9324,20/10/2022
24/10/2020,13913,20/10/2022
24/10/2021,2559,20/10/2022
24/11/2020,10385,20/10/2022
24/11/2021,7726,20/10/2022
24/12/2020,8778,20/10/2022
24/12/2021,30064,20/10/2022
25/01/2021,7080,20/10/2022
25/01/2022,39498,20/10/2022
25/02/2020,814,20/10/2022
25/02/2021,10157,20/10/2022
25/02/2022,11611,20/10/2022
25/03/2020,3833,20/10/2022
25/03/2021,11843,20/10/2022
25/03/2022,21643,20/10/2022
25/04/2020,881,20/10/2022
25/04/2021,5937,20/10/2022
25/04/2022,15433,20/10/2022
25/05/2020,237,20/10/2022
25/05/2021,1607,20/10/2022
25/05/2022,6583,20/10/2022
25/06/2020,91,20/10/2022
25/06/2021,347,20/10/2022
25/06/2022,16114,20/10/2022
25/07/2020,132,20/10/2022
25/07/2021,3188,20/10/2022
25/07/2022,21985,20/10/2022
25/08/2020,652,20/10/2022
25/08/2021,3719,20/10/2022
25/08/2022,6908,20/10/2022
25/09/2020,1004,20/10/2022
25/09/2021,1682,20/10/2022
25/09/2022,9289,20/10/2022
25/10/2020,14175,20/10/2022
25/10/2021,3191,20/10/2022
25/11/2020,10109,20/10/2022
25/11/2021,7652,20/10/2022
25/12/2020,7626,20/10/2022
25/12/2021,30470,20/10/2022
26/01/2021,6164,20/10/2022
26/01/2022,36357,20/10/2022
26/02/2020,741,20/10/2022
26/02/2021,10752,20/10/2022
26/02/2022,10532,20/10/2022
26/03/2020,3292,20/10/2022
26/03/2021,11204,20/10/2022
