DATARICOVERO1,RICOVERI,iss_date
12/04/2022,789,12/01/2023
12/05/2020,199,12/01/2023
12/05/2021,553,12/01/2023
12/05/2022,553,12/01/2023
12/06/2020,102,12/01/2023
12/06/2021,127,12/01/2023
12/06/2022,316,12/01/2023
12/07/2020,45,12/01/2023
12/07/2021,86,12/01/2023
12/07/2022,1009,12/01/2023
12/08/2020,112,12/01/2023
12/08/2021,324,12/01/2023
12/08/2022,429,12/01/2023
12/09/2020,186,12/01/2023
12/09/2021,246,12/01/2023
12/09/2022,293,12/01/2023
12/10/2020,771,12/01/2023
12/10/2021,161,12/01/2023
12/10/2022,667,12/01/2023
12/11/2020,2535,12/01/2023
12/11/2021,366,12/01/2023
12/11/2022,498,12/01/2023
12/12/2020,1268,12/01/2023
12/12/2021,525,12/01/2023
12/12/2022,790,12/01/2023
13/01/2021,1281,12/01/2023
13/01/2022,1636,12/01/2023
13/02/2021,850,12/01/2023
13/02/2022,711,12/01/2023
13/03/2020,2338,12/01/2023
13/03/2021,1848,12/01/2023
13/03/2022,566,12/01/2023
13/04/2020,634,12/01/2023
13/04/2021,1311,12/01/2023
13/04/2022,772,12/01/2023
13/05/2020,218,12/01/2023
13/05/2021,543,12/01/2023
13/05/2022,482,12/01/2023
13/06/2020,74,12/01/2023
13/06/2021,114,12/01/2023
13/06/2022,409,12/01/2023
13/07/2020,96,12/01/2023
13/07/2021,110,12/01/2023
13/07/2022,952,12/01/2023
13/08/2020,90,12/01/2023
13/08/2021,361,12/01/2023
13/08/2022,345,12/01/2023
13/09/2020,175,12/01/2023
13/09/2021,327,12/01/2023
13/09/2022,293,12/01/2023
13/10/2020,828,12/01/2023
13/10/2021,159,12/01/2023
13/10/2022,567,12/01/2023
13/11/2020,2561,12/01/2023
13/11/2021,356,12/01/2023
13/11/2022,427,12/01/2023
13/12/2020,1046,12/01/2023
13/12/2021,706,12/01/2023
13/12/2022,687,12/01/2023
14/01/2021,1290,12/01/2023
14/01/2022,1652,12/01/2023
14/02/2021,742,12/01/2023
14/02/2022,979,12/01/2023
14/03/2020,1997,12/01/2023
14/03/2021,1620,12/01/2023
14/03/2022,683,12/01/2023
14/04/2020,887,12/01/2023
14/04/2021,1147,12/01/2023
14/04/2022,777,12/01/2023
14/05/2020,222,12/01/2023
14/05/2021,498,12/01/2023
14/05/2022,446,12/01/2023
14/06/2020,58,12/01/2023
