iss_date,DATA_INIZIO_SINTOMI,CASI
10/12/2020,22/07/2020,114
10/12/2020,23/07/2020,130
10/12/2020,24/07/2020,114
10/12/2020,25/07/2020,131
10/12/2020,26/07/2020,93
10/12/2020,27/07/2020,133
10/12/2020,28/07/2020,132
10/12/2020,29/07/2020,130
10/12/2020,30/07/2020,120
10/12/2020,31/07/2020,126
10/12/2020,01/08/2020,157
10/12/2020,02/08/2020,120
10/12/2020,03/08/2020,208
10/12/2020,04/08/2020,190
10/12/2020,05/08/2020,206
10/12/2020,06/08/2020,215
10/12/2020,07/08/2020,208
10/12/2020,08/08/2020,250
10/12/2020,09/08/2020,209
10/12/2020,10/08/2020,292
10/12/2020,11/08/2020,269
10/12/2020,12/08/2020,279
10/12/2020,13/08/2020,304
10/12/2020,14/08/2020,308
10/12/2020,15/08/2020,347
10/12/2020,16/08/2020,362
10/12/2020,17/08/2020,562
10/12/2020,18/08/2020,626
10/12/2020,19/08/2020,567
10/12/2020,20/08/2020,580
10/12/2020,21/08/2020,612
10/12/2020,22/08/2020,573
10/12/2020,23/08/2020,587
10/12/2020,24/08/2020,669
10/12/2020,25/08/2020,624
10/12/2020,26/08/2020,624
10/12/2020,27/08/2020,577
10/12/2020,28/08/2020,583
10/12/2020,29/08/2020,428
10/12/2020,30/08/2020,423
10/12/2020,31/08/2020,551
10/12/2020,01/09/2020,726
10/12/2020,02/09/2020,632
10/12/2020,03/09/2020,574
10/12/2020,04/09/2020,641
10/12/2020,05/09/2020,540
10/12/2020,06/09/2020,512
10/12/2020,07/09/2020,797
10/12/2020,08/09/2020,673
10/12/2020,09/09/2020,665
10/12/2020,10/09/2020,758
10/12/2020,11/09/2020,648
10/12/2020,12/09/2020,635
10/12/2020,13/09/2020,580
10/12/2020,14/09/2020,869
10/12/2020,15/09/2020,861
10/12/2020,16/09/2020,804
10/12/2020,17/09/2020,814
10/12/2020,18/09/2020,842
10/12/2020,19/09/2020,816
10/12/2020,20/09/2020,814
10/12/2020,21/09/2020,937
10/12/2020,22/09/2020,937
10/12/2020,23/09/2020,853
10/12/2020,24/09/2020,842
10/12/2020,25/09/2020,955
10/12/2020,26/09/2020,920
10/12/2020,27/09/2020,955
10/12/2020,28/09/2020,1317
10/12/2020,29/09/2020,1278
10/12/2020,30/09/2020,1693
10/12/2020,01/10/2020,2286
10/12/2020,02/10/2020,2248
10/12/2020,03/10/2020,2323
10/12/2020,04/10/2020,2290
10/12/2020,05/10/2020,3304
10/12/2020,06/10/2020,3102
10/12/2020,07/10/2020,3648
10/12/2020,08/10/2020,3966
10/12/2020,09/10/2020,4432
10/12/2020,10/10/2020,4876
10/12/2020,11/10/2020,4257
10/12/2020,12/10/2020,6880
10/12/2020,13/10/2020,6450
10/12/2020,14/10/2020,7100
10/12/2020,15/10/2020,7912
10/12/2020,16/10/2020,9015
10/12/2020,17/10/2020,8702
10/12/2020,18/10/2020,8802
10/12/2020,19/10/2020,12539
10/12/2020,20/10/2020,13189
10/12/2020,21/10/2020,12742
10/12/2020,22/10/2020,12729
10/12/2020,23/10/2020,14228
