DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
15/05/2022,11721,15/12/2022
15/06/2020,276,15/12/2022
15/06/2021,1333,15/12/2022
15/06/2022,38018,15/12/2022
15/07/2020,240,15/12/2022
15/07/2021,3204,15/12/2022
15/07/2022,92652,15/12/2022
15/08/2020,325,15/12/2022
15/08/2021,2365,15/12/2022
15/08/2022,8356,15/12/2022
15/09/2020,1830,15/12/2022
15/09/2021,4870,15/12/2022
15/09/2022,17619,15/12/2022
15/10/2020,12232,15/12/2022
15/10/2021,2991,15/12/2022
15/10/2022,29687,15/12/2022
15/11/2020,14591,15/12/2022
15/11/2021,10322,15/12/2022
15/11/2022,35542,15/12/2022
15/12/2020,18617,15/12/2022
15/12/2021,26824,15/12/2022
15/12/2022,7,15/12/2022
16/01/2021,10938,15/12/2022
16/01/2022,64842,15/12/2022
16/02/2021,14149,15/12/2022
16/02/2022,57695,15/12/2022
16/03/2020,4817,15/12/2022
16/03/2021,26017,15/12/2022
16/03/2022,83667,15/12/2022
16/04/2020,3704,15/12/2022
16/04/2021,15137,15/12/2022
16/04/2022,53594,15/12/2022
16/05/2020,607,15/12/2022
16/05/2021,2171,15/12/2022
16/05/2022,48014,15/12/2022
16/06/2020,280,15/12/2022
16/06/2021,1232,15/12/2022
16/06/2022,37826,15/12/2022
16/07/2020,265,15/12/2022
16/07/2021,3715,15/12/2022
16/07/2022,70237,15/12/2022
16/08/2020,299,15/12/2022
16/08/2021,6736,15/12/2022
16/08/2022,38878,15/12/2022
16/09/2020,1614,15/12/2022
16/09/2021,4297,15/12/2022
16/09/2022,17386,15/12/2022
16/10/2020,13818,15/12/2022
16/10/2021,2402,15/12/2022
16/10/2022,12096,15/12/2022
16/11/2020,36694,15/12/2022
16/11/2021,11410,15/12/2022
16/11/2022,35772,15/12/2022
16/12/2020,17036,15/12/2022
16/12/2021,27477,15/12/2022
17/01/2021,5033,15/12/2022
17/01/2022,240074,15/12/2022
17/02/2021,14125,15/12/2022
17/02/2022,52236,15/12/2022
17/03/2020,5347,15/12/2022
17/03/2021,24913,15/12/2022
17/03/2022,79067,15/12/2022
17/04/2020,3498,15/12/2022
17/04/2021,11465,15/12/2022
17/04/2022,16561,15/12/2022
17/05/2020,299,15/12/2022
17/05/2021,5517,15/12/2022
17/05/2022,30860,15/12/2022
17/06/2020,303,15/12/2022
17/06/2021,1123,15/12/2022
17/06/2022,38785,15/12/2022
17/07/2020,283,15/12/2022
17/07/2021,2990,15/12/2022
