iss_date,DATA_INIZIO_SINTOMI,CASI_SINT,e
12/12/2020,11/03/2020,3714
12/12/2020,12/03/2020,4202
12/12/2020,13/03/2020,4709
12/12/2020,14/03/2020,4093
12/12/2020,15/03/2020,5189
12/12/2020,16/03/2020,4692
12/12/2020,17/03/2020,3993
12/12/2020,18/03/2020,4195
12/12/2020,19/03/2020,3730
12/12/2020,20/03/2020,5315
12/12/2020,21/03/2020,3290
12/12/2020,22/03/2020,3303
12/12/2020,23/03/2020,3787
12/12/2020,24/03/2020,3021
12/12/2020,25/03/2020,3218
12/12/2020,26/03/2020,2753
12/12/2020,27/03/2020,3004
12/12/2020,28/03/2020,2650
12/12/2020,29/03/2020,2077
12/12/2020,30/03/2020,3035
12/12/2020,31/03/2020,2124
12/12/2020,01/04/2020,3324
12/12/2020,02/04/2020,2141
12/12/2020,03/04/2020,2228
12/12/2020,04/04/2020,1852
12/12/2020,05/04/2020,1685
12/12/2020,06/04/2020,1939
12/12/2020,07/04/2020,1784
12/12/2020,08/04/2020,1760
12/12/2020,09/04/2020,1594
12/12/2020,10/04/2020,2152
12/12/2020,11/04/2020,1263
12/12/2020,12/04/2020,1418
12/12/2020,13/04/2020,1284
12/12/2020,14/04/2020,1506
12/12/2020,15/04/2020,1693
12/12/2020,16/04/2020,1339
12/12/2020,17/04/2020,1306
12/12/2020,18/04/2020,1108
12/12/2020,19/04/2020,864
12/12/2020,20/04/2020,1574
12/12/2020,21/04/2020,993
12/12/2020,22/04/2020,1013
12/12/2020,23/04/2020,917
12/12/2020,24/04/2020,817
12/12/2020,25/04/2020,716
12/12/2020,26/04/2020,564
12/12/2020,27/04/2020,877
12/12/2020,28/04/2020,637
12/12/2020,29/04/2020,598
12/12/2020,30/04/2020,543
12/12/2020,01/05/2020,536
12/12/2020,02/05/2020,393
12/12/2020,03/05/2020,311
12/12/2020,04/05/2020,433
12/12/2020,05/05/2020,447
12/12/2020,06/05/2020,373
12/12/2020,07/05/2020,348
12/12/2020,08/05/2020,390
12/12/2020,09/05/2020,206
12/12/2020,10/05/2020,266
12/12/2020,11/05/2020,304
12/12/2020,12/05/2020,316
12/12/2020,13/05/2020,262
12/12/2020,14/05/2020,226
12/12/2020,15/05/2020,260
12/12/2020,16/05/2020,176
12/12/2020,17/05/2020,141
12/12/2020,18/05/2020,253
12/12/2020,19/05/2020,197
12/12/2020,20/05/2020,219
12/12/2020,21/05/2020,156
12/12/2020,22/05/2020,149
12/12/2020,23/05/2020,108
12/12/2020,24/05/2020,71
12/12/2020,25/05/2020,165
12/12/2020,26/05/2020,142
12/12/2020,27/05/2020,145
12/12/2020,28/05/2020,106
12/12/2020,29/05/2020,111
12/12/2020,30/05/2020,92
12/12/2020,31/05/2020,54
12/12/2020,01/06/2020,133
12/12/2020,02/06/2020,54
12/12/2020,03/06/2020,108
12/12/2020,04/06/2020,82
12/12/2020,05/06/2020,105
12/12/2020,06/06/2020,71
12/12/2020,07/06/2020,61
12/12/2020,08/06/2020,107
12/12/2020,09/06/2020,89
12/12/2020,10/06/2020,95
12/12/2020,11/06/2020,72
12/12/2020,12/06/2020,99
12/12/2020,13/06/2020,59
12/12/2020,14/06/2020,72
12/12/2020,15/06/2020,93
12/12/2020,16/06/2020,76
12/12/2020,17/06/2020,71
12/12/2020,18/06/2020,72
12/12/2020,19/06/2020,69
12/12/2020,20/06/2020,56
12/12/2020,21/06/2020,53
12/12/2020,22/06/2020,76
12/12/2020,23/06/2020,64
12/12/2020,24/06/2020,81
12/12/2020,25/06/2020,69
12/12/2020,26/06/2020,75
12/12/2020,27/06/2020,60
12/12/2020,28/06/2020,46
12/12/2020,29/06/2020,83
12/12/2020,30/06/2020,60
12/12/2020,01/07/2020,98
12/12/2020,02/07/2020,74
12/12/2020,03/07/2020,63
12/12/2020,04/07/2020,63
12/12/2020,05/07/2020,57
12/12/2020,06/07/2020,86
12/12/2020,07/07/2020,85
12/12/2020,08/07/2020,91
12/12/2020,09/07/2020,78
12/12/2020,10/07/2020,101
12/12/2020,11/07/2020,74
12/12/2020,12/07/2020,67
12/12/2020,13/07/2020,94
12/12/2020,14/07/2020,107
12/12/2020,15/07/2020,94
12/12/2020,16/07/2020,74
12/12/2020,17/07/2020,100
12/12/2020,18/07/2020,86
12/12/2020,19/07/2020,81
12/12/2020,20/07/2020,133
12/12/2020,21/07/2020,112
12/12/2020,22/07/2020,107
12/12/2020,23/07/2020,120
12/12/2020,24/07/2020,109
12/12/2020,25/07/2020,121
12/12/2020,26/07/2020,92
12/12/2020,27/07/2020,123
12/12/2020,28/07/2020,126
12/12/2020,29/07/2020,124
12/12/2020,30/07/2020,114
12/12/2020,31/07/2020,115
12/12/2020,01/08/2020,153
12/12/2020,02/08/2020,111
12/12/2020,03/08/2020,192
12/12/2020,04/08/2020,180
12/12/2020,05/08/2020,194
12/12/2020,06/08/2020,200
12/12/2020,07/08/2020,186
12/12/2020,08/08/2020,228
12/12/2020,09/08/2020,202
12/12/2020,10/08/2020,266
12/12/2020,11/08/2020,241
12/12/2020,12/08/2020,255
12/12/2020,13/08/2020,281
12/12/2020,14/08/2020,287
12/12/2020,15/08/2020,327
12/12/2020,16/08/2020,327
12/12/2020,17/08/2020,532
12/12/2020,18/08/2020,576
12/12/2020,19/08/2020,525
12/12/2020,20/08/2020,522
12/12/2020,21/08/2020,564
12/12/2020,22/08/2020,525
12/12/2020,23/08/2020,550
12/12/2020,24/08/2020,617
12/12/2020,25/08/2020,584
12/12/2020,26/08/2020,556
12/12/2020,27/08/2020,513
12/12/2020,28/08/2020,522
12/12/2020,29/08/2020,405
12/12/2020,30/08/2020,387
12/12/2020,31/08/2020,504
12/12/2020,01/09/2020,671
12/12/2020,02/09/2020,571
12/12/2020,03/09/2020,539
12/12/2020,04/09/2020,601
12/12/2020,05/09/2020,502
12/12/2020,06/09/2020,474
12/12/2020,07/09/2020,736
12/12/2020,08/09/2020,599
12/12/2020,09/09/2020,614
12/12/2020,10/09/2020,687
12/12/2020,11/09/2020,587
12/12/2020,12/09/2020,596
12/12/2020,13/09/2020,542
12/12/2020,14/09/2020,787
12/12/2020,15/09/2020,794
12/12/2020,16/09/2020,730
12/12/2020,17/09/2020,749
12/12/2020,18/09/2020,753
12/12/2020,19/09/2020,758
12/12/2020,20/09/2020,755
12/12/2020,21/09/2020,821
12/12/2020,22/09/2020,826
12/12/2020,23/09/2020,748
12/12/2020,24/09/2020,750
12/12/2020,25/09/2020,844
12/12/2020,26/09/2020,814
12/12/2020,27/09/2020,834
12/12/2020,28/09/2020,1155
12/12/2020,29/09/2020,1060
12/12/2020,30/09/2020,1408
12/12/2020,01/10/2020,1895
12/12/2020,02/10/2020,1794
12/12/2020,03/10/2020,1955
12/12/2020,04/10/2020,1922
12/12/2020,05/10/2020,2683
12/12/2020,06/10/2020,2528
12/12/2020,07/10/2020,2894
12/12/2020,08/10/2020,3139
12/12/2020,09/10/2020,3392
12/12/2020,10/10/2020,3912
12/12/2020,11/10/2020,3389
12/12/2020,12/10/2020,5071
12/12/2020,13/10/2020,4836
12/12/2020,14/10/2020,5285
12/12/2020,15/10/2020,5954
12/12/2020,16/10/2020,6567
12/12/2020,17/10/2020,6606
12/12/2020,18/10/2020,6695
12/12/2020,19/10/2020,8911
12/12/2020,20/10/2020,9603
12/12/2020,21/10/2020,9061
12/12/2020,22/10/2020,9194
12/12/2020,23/10/2020,10122
12/12/2020,24/10/2020,9700
12/12/2020,25/10/2020,9978
12/12/2020,26/10/2020,12535
12/12/2020,27/10/2020,11503
12/12/2020,28/10/2020,12179
12/12/2020,29/10/2020,11343
12/12/2020,30/10/2020,11952
12/12/2020,31/10/2020,10160
12/12/2020,01/11/2020,12524
12/12/2020,02/11/2020,14454
12/12/2020,03/11/2020,12386
12/12/2020,04/11/2020,12889
12/12/2020,05/11/2020,12624
12/12/2020,06/11/2020,13255
12/12/2020,07/11/2020,11819
12/12/2020,08/11/2020,11024
12/12/2020,09/11/2020,14016
12/12/2020,10/11/2020,13383
12/12/2020,11/11/2020,11774
12/12/2020,12/11/2020,11658
12/12/2020,13/11/2020,12082
12/12/2020,14/11/2020,11182
12/12/2020,15/11/2020,10145
12/12/2020,16/11/2020,12304
12/12/2020,17/11/2020,10255
12/12/2020,18/11/2020,10487
12/12/2020,19/11/2020,8814
12/12/2020,20/11/2020,9987
12/12/2020,21/11/2020,7754
12/12/2020,22/11/2020,7009
12/12/2020,23/11/2020,9303
12/12/2020,24/11/2020,7846
12/12/2020,25/11/2020,7869
12/12/2020,26/11/2020,7295
12/12/2020,27/11/2020,7302
12/12/2020,28/11/2020,6624
12/12/2020,29/11/2020,4881
12/12/2020,30/11/2020,7103
12/12/2020,01/12/2020,6879
12/12/2020,02/12/2020,5822
12/12/2020,03/12/2020,4876
12/12/2020,04/12/2020,4303
12/12/2020,05/12/2020,3479
12/12/2020,06/12/2020,2592
12/12/2020,07/12/2020,2551
12/12/2020,08/12/2020,1431
12/12/2020,09/12/2020,1349
12/12/2020,10/12/2020,717
12/12/2020,11/12/2020,174
12/12/2020,12/12/2020,21
12/12/2020,,96569
