X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583280000000","1","0","1688"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583366400000","2","0","1689"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583452800000","1","1","1690"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583539200000","3","1","1691"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583625600000","2","0","1692"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583712000000","2","0","1693"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583798400000","5","0","1694"
10.43552512,45.34914395,"767","3017039",CARPENEDOLO,BRESCIA,BS,LOMBARDIA,10.43552512,45.34914395,"767","1583884800000","3","0","1695"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1582675200000","1","0","1696"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583107200000","0","1","1697"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583280000000","1","0","1698"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583366400000","1","1","1699"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583452800000","2","0","1700"
10.11307379,45.5576948,"687","3017040",CASTEGNATO,BRESCIA,BS,LOMBARDIA,10.11307379,45.5576948,"687","1583539200000","2","0","1701"
